Date,"5 YR","7 YR","10 YR"
10/01/2003,1.00,1.53,1.96
09/30/2003,0.99,1.53,1.95
09/29/2003,1.07,1.60,2.03
09/26/2003,1.04,1.57,1.99
09/25/2003,1.14,1.67,2.07
09/24/2003,1.21,1.72,2.13
09/23/2003,1.29,1.80,2.19
09/22/2003,1.32,1.82,2.21
09/19/2003,1.30,1.79,2.17
09/18/2003,1.30,1.82,2.18
09/17/2003,1.29,1.79,2.20
09/16/2003,1.32,1.84,2.26
09/15/2003,1.25,1.78,2.18
09/12/2003,1.27,1.78,2.18
09/11/2003,1.32,1.84,2.22
09/10/2003,1.28,1.80,2.18
09/09/2003,1.34,1.84,2.21
09/08/2003,1.38,1.86,2.24
09/05/2003,1.31,1.80,2.17
09/04/2003,1.49,1.98,2.32
09/03/2003,1.58,2.06,2.40
09/02/2003,1.63,2.07,2.43
08/29/2003,1.47,1.94,2.29
08/28/2003,1.44,1.94,2.29
08/27/2003,1.54,2.00,2.36
08/26/2003,1.47,1.95,2.28
08/25/2003,1.49,1.96,2.31
08/22/2003,1.42,1.90,2.26
08/21/2003,1.45,1.92,2.29
08/20/2003,1.41,1.90,2.26
08/19/2003,1.40,1.89,2.24
08/18/2003,1.49,1.99,2.33
08/15/2003,1.50,2.03,2.36
08/14/2003,1.53,2.03,2.38
08/13/2003,1.55,2.06,2.41
08/12/2003,1.42,1.93,2.29
08/11/2003,1.44,1.93,2.31
08/08/2003,1.43,1.93,2.27
08/07/2003,1.41,1.96,2.29
08/06/2003,1.53,1.99,2.34
08/05/2003,1.62,2.11,2.43
08/04/2003,1.52,1.99,2.34
08/01/2003,1.62,2.11,2.40
07/31/2003,1.63,2.09,2.41
07/30/2003,1.54,1.98,2.32
07/29/2003,1.63,2.05,2.38
07/28/2003,1.49,1.93,2.27
07/25/2003,1.34,1.81,2.14
07/24/2003,1.41,1.84,2.18
07/23/2003,1.37,1.80,2.11
07/22/2003,1.48,1.89,2.19
07/21/2003,1.47,1.89,2.21
07/18/2003,1.28,1.72,2.04
07/17/2003,1.31,1.76,2.05
07/16/2003,1.31,1.77,2.08
07/15/2003,1.28,1.74,2.06
07/14/2003,1.13,1.58,1.92
07/11/2003,1.10,1.58,1.88
07/10/2003,1.14,1.61,1.94
07/09/2003,1.17,1.66,2.00
07/08/2003,1.24,1.74,2.12
07/07/2003,1.19,1.68,2.14
07/03/2003,1.11,1.60,2.09
07/02/2003,1.04,1.53,1.96
07/01/2003,1.03,1.52,1.92
06/30/2003,1.01,1.52,1.90
06/27/2003,1.04,1.54,1.90
06/26/2003,1.02,1.50,1.85
06/25/2003,0.87,1.31,1.71
06/24/2003,0.84,1.33,1.68
06/23/2003,0.88,1.36,1.71
06/20/2003,0.92,1.41,1.77
06/19/2003,0.89,1.39,1.74
06/18/2003,0.98,1.44,1.79
06/17/2003,0.91,1.34,1.70
06/16/2003,0.79,1.24,1.59
06/13/2003,0.71,1.17,1.51
06/12/2003,0.78,1.24,1.57
06/11/2003,0.80,1.26,1.62
06/10/2003,0.81,1.26,1.61
06/09/2003,0.88,1.33,1.68
06/06/2003,0.96,1.41,1.76
06/05/2003,0.94,1.40,1.75
06/04/2003,0.94,1.41,1.73
06/03/2003,1.00,1.42,1.76
06/02/2003,1.08,1.51,1.83
05/30/2003,1.04,1.47,1.77
05/29/2003,1.04,1.47,1.76
05/28/2003,1.12,1.55,1.83
05/27/2003,1.09,1.51,1.80
05/23/2003,1.02,1.43,1.72
05/22/2003,1.02,1.45,1.71
05/21/2003,1.03,1.44,1.73
05/20/2003,0.99,1.44,1.73
05/19/2003,1.07,1.57,1.85
05/16/2003,1.12,1.55,1.84
05/15/2003,1.13,1.57,1.86
05/14/2003,1.15,1.58,1.87
05/13/2003,1.19,1.67,1.94
05/12/2003,1.21,1.68,1.96
05/09/2003,1.21,1.70,2.00
05/08/2003,1.28,1.67,2.00
05/07/2003,1.26,1.74,2.02
05/06/2003,1.34,1.82,2.17
05/05/2003,1.37,1.86,2.19
05/02/2003,1.56,1.86,2.19
05/01/2003,1.52,1.82,2.13
04/30/2003,1.40,1.88,2.16
04/29/2003,1.47,1.93,2.22
04/28/2003,1.42,1.87,2.16
04/25/2003,1.42,1.90,2.18
04/24/2003,1.46,1.92,2.22
04/23/2003,1.48,1.97,2.26
04/22/2003,1.50,1.97,2.27
04/21/2003,1.46,1.95,2.25
04/17/2003,1.41,1.90,2.22
04/16/2003,1.37,1.86,2.20
04/15/2003,1.34,1.86,2.18
04/14/2003,1.36,1.87,2.22
04/11/2003,1.33,1.86,2.23
04/10/2003,1.25,1.82,2.16
04/09/2003,1.32,1.81,2.13
04/08/2003,1.34,1.80,2.18
04/07/2003,1.38,1.86,2.21
04/04/2003,1.25,1.75,2.16
04/03/2003,1.23,1.74,2.12
04/02/2003,1.23,1.74,2.11
04/01/2003,1.14,1.63,2.02
03/31/2003,1.13,1.66,2.03
03/28/2003,1.14,1.72,2.09
03/27/2003,1.21,1.75,2.10
03/26/2003,1.29,1.81,2.15
03/25/2003,1.33,1.81,2.17
03/24/2003,1.32,1.83,2.18
03/21/2003,1.42,1.94,2.29
03/20/2003,1.35,1.85,2.20
03/19/2003,1.39,1.81,2.15
03/18/2003,1.30,1.72,2.08
03/17/2003,1.15,1.60,1.97
03/14/2003,1.15,1.52,1.89
03/13/2003,0.88,1.43,1.73
03/12/2003,0.78,1.34,1.68
03/11/2003,0.78,1.34,1.68
03/10/2003,0.79,1.36,1.69
03/07/2003,0.82,1.39,1.72
03/06/2003,0.90,1.43,1.74
03/05/2003,0.90,1.44,1.75
03/04/2003,0.90,1.45,1.77
03/03/2003,0.93,1.47,1.77
02/28/2003,0.94,1.48,1.77
02/27/2003,0.98,1.54,1.82
02/26/2003,1.01,1.55,1.84
02/25/2003,1.00,1.53,1.84
02/24/2003,1.04,1.59,1.87
02/21/2003,1.13,1.64,1.93
02/20/2003,1.13,1.64,1.91
02/19/2003,1.25,1.75,1.99
02/18/2003,1.29,1.78,2.05
02/14/2003,1.29,1.78,2.03
02/13/2003,1.29,1.76,2.01
02/12/2003,1.32,1.79,2.04
02/11/2003,1.38,1.84,2.05
02/10/2003,1.37,1.84,2.06
02/07/2003,1.37,1.84,2.07
02/06/2003,1.40,1.85,2.09
02/05/2003,1.46,1.91,2.12
02/04/2003,1.45,1.90,2.12
02/03/2003,1.53,2.00,2.20
01/31/2003,1.53,1.97,2.19
01/30/2003,1.56,2.00,2.20
01/29/2003,1.55,1.98,2.21
01/28/2003,1.52,1.98,2.19
01/27/2003,1.50,1.94,2.16
01/24/2003,1.47,1.93,2.14
01/23/2003,1.55,2.00,2.20
01/22/2003,1.60,2.04,2.23
01/21/2003,1.62,2.05,2.23
01/17/2003,1.60,2.06,2.25
01/16/2003,1.71,2.14,2.31
01/15/2003,1.69,2.10,2.30
01/14/2003,1.72,2.13,2.34
01/13/2003,1.77,2.20,2.38
01/10/2003,1.80,2.22,2.41
01/09/2003,1.82,2.23,2.41
01/08/2003,1.68,2.14,2.29
01/07/2003,1.76,2.24,2.42
01/06/2003,1.79,2.27,2.46
01/03/2003,1.75,2.25,2.43
01/02/2003,1.75,2.24,2.43
